Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count,Unnamed: 0,LSOA
City of London,Bank Station,Transit Station,51.5132819,-0.0895555,4.6,0.4554943069815635,0.4166666666666667,0.3333333333333333,0.25,"Cleanliness, Accessibility, General","clean (9), accessible (9), good (9), noisy (3), tidy (3), safe (3), dead (1), lighting (1)",5,,E01032739
City of London,St. Paul's Station,Transit Station,51.5150966,-0.0973035,3.9,0.5713383436203003,0.4,0.2,0.4,"Maintenance, Accessibility, General","good (27), modern (18), accessible (9), far (9), great (9), messy (5), safe (3)",25,,E01032739
City of London,Monument Station,Transit Station,51.5109923,-0.086605,2.3,0.4592465725209977,0.2222222222222222,0.7777777777777778,0.0,"Accessibility, Safety, Noise, Cleanliness, Maintenance, Traffic, General","difficult (18), modern (18), walking (15), central (9), worst (9), clean (9), dusty (9), filthy (9), dark (9), lighting (9), poor (9), silent (3), busy (3), safe (3), neat (3), near (3), new (3)",4,,E01032739
City of London,Barbican Station,Transit Station,51.52067659999999,-0.0976251999999999,4.0,0.0,0.0,0.0,0.0,,,8,,E01000001
City of London,Blackfriars Station,Transit Station,51.51155790000001,-0.1034314,3.4,0.5596899966398875,0.4666666666666667,0.2,0.3333333333333333,"Maintenance, Cleanliness, Aesthetics","old (9), lovely (9), safe (6), noisy (6), clean (6), tidy (3)",62,,E01032739
City of London,Farringdon Station,Transit Station,51.520338,-0.1054851,3.5,0.6536554435888926,0.0,0.4,0.6,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","clean (21), amazing (18), busy (18), safe (12), gorgeous (9), spacious (9), cozy (9), walking (9), modern (9), easy (9), horrible (9), good (9), pretty (9), far (6), tidy (3), pleasant (2)",62,,E01002724
City of London,Bank Station,Transit Station,51.51338800000001,-0.0889145,3.9,0.5932178258895874,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic","busy (33), tidy (24), central (18), clean (15), beautiful (9), new (9), good (6), walking (3), upgraded (3), near (3), safe (3), bad (3), cars (3), calm (3), cozy (3), lighting (3)",548,,E01032739
City of London,Mansion House,Subway Station,51.5122905,-0.0936332,4.0,0.6114030917485554,0.0,0.4,0.6,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic","easy (18), busy (18), quiet (12), beautiful (9), walking (9), clean (9), tidy (9), good (3), near (3), noisy (3), safe (3), lovely (3)",64,,E01032739
City of London,St. Paul's,Subway Station,51.5149293,-0.0975570999999999,4.6,0.7259242216746012,0.0,0.2,0.8,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","great (18), safe (15), central (9), busy (9), quiet (9), clean (9), tidy (9), far (9), accessible (9), beautiful (9), modern (9), noisy (3), walking (3), lovely (3), parking (3)",242,,E01032739
City of London,Moorgate,Transit Station,51.51850709999999,-0.0883927,4.2,0.6133359710375468,0.0,0.4666666666666667,0.5333333333333333,"Accessibility, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","old (18), tidy (15), convenient (9), modern (9), maintained (9), busy (9), easy (9), clean (9), new (9), central (9), great (9), pretty (9), amazing (9), connected (3), safe (3)",991,,E01032739
City of London,Old Street Station,Transit Station,51.52626840000001,-0.0879556,3.0,0.4289946456750234,0.6666666666666666,0.0,0.3333333333333333,"Maintenance, Accessibility, General","old (27), great (9), near (9), worst (9), noisy (6), safe (3)",4,,E01002701
City of London,Monument,Subway Station,51.51100229999999,-0.0866591,4.3,0.5268260876337687,0.1333333333333333,0.6666666666666666,0.2,"Accessibility, Noise, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics, General","central (36), easy (27), great (27), walking (21), convenient (18), busy (15), safe (15), tidy (12), quiet (9), clean (9), good (9), charming (9), modern (9), fantastic (9), bustling (9), maintained (9), traffic (9), amazing (9), lighting (6), noisy (3), near (3), flow (3), lively (3), connected (3), upgraded (3)",240,,E01032739
City of London,Barbican,Subway Station,51.5202192,-0.0976770999999999,4.2,0.5034761985143026,0.2,0.4666666666666667,0.3333333333333333,"Accessibility, Safety, Atmosphere, Maintenance, Traffic, Aesthetics, General","old (18), dark (12), good (12), safe (9), ugly (9), beautiful (9), disappointing (9), pretty (9), lovely (9), accessible (9), crowded (9), noisy (6), dead (3), flow (3), tidy (3)",117,,E01000001
City of London,St John Street (Stop J),Bus Station,51.5226031,-0.1039438,4.8,0.4882554776138729,0.3333333333333333,0.3333333333333333,0.3333333333333333,General,great (9),5,,E01002724
City of London,Shoreditch High Street Station (Stop N),Bus Station,51.52496299999999,-0.0772429999999999,3.8,0.5999162296454111,0.2222222222222222,0.4444444444444444,0.3333333333333333,General,"great (9), good (9), busy (3), safe (3)",6,,E01033706
City of London,Moorgate Station (Stop B),Bus Station,51.51864200000001,-0.0881166999999999,4.5,0.0,0.0,0.0,0.0,,,2,,E01032739
City of London,Fenchurch Street (Stop U),Bus Station,51.511349,-0.085397,4.8,0.4749900433752272,0.4444444444444444,0.3333333333333333,0.2222222222222222,General,"good (18), busy (9), noisy (3)",6,,E01032739
City of London,Barbican (Stop BA),Bus Station,51.5204031,-0.0975412,4.5,0.4189402163028717,0.3333333333333333,0.6666666666666666,0.0,,"busy (6), good (3), parking (3), safe (3), noisy (3)",2,,E01000001
City of London,St. Bartholomews Hospital (Stop HQ),Bus Station,51.5174135,-0.101238,5.0,0.0,0.0,0.0,0.0,,,1,,E01032740
City of London,Barbican (Stop BB),Bus Station,51.5209026,-0.0973335999999999,4.0,0.0,0.0,0.0,0.0,,,1,,E01000001
