LSOA_CODE,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,StreetLen_m,RailLen_m,StationCount,MinStationDist_m,LU_allotments_prop,LU_cemetery_prop,LU_commercial_prop,LU_farm_prop,LU_forest_prop,LU_grass_prop,LU_heath_prop,LU_industrial_prop,LU_meadow_prop,LU_military_prop,LU_nature_reserve_prop,LU_orchard_prop,LU_park_prop,LU_quarry_prop,LU_recreation_ground_prop,LU_residential_prop,LU_retail_prop,LU_scrub_prop
E01033745,Unknown,2,11.752445756397346,1.751127151273292,1361.0,E01033745,0.523337708747432,0.17560000000000003,315.6,4230.851677672638,1397.8482361779825,6.0,174.7445477714372,0.0,0.0,0.0,0.0,0.03432140220629416,0.004739326071198375,0.0,0.29283311799442674,0.0,0.0,0.0,0.0,0.01249850862090894,0.0,0.0,0.4650751844189905,0.0,0.0
E01000009,Unknown,6a,42.63926898991634,32.58277864669397,1561.0,E01000009,0.639,0.13,933.0,2302.993067046027,929.3804996371376,7.0,112.22755261361932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006651493255544622,0.0,0.0,0.6391292573567235,0.15137127937965067,0.0
E01033746,Unknown,4,26.881434154828227,14.82961011050867,1237.0,E01033746,0.6090169735892799,0.1326,10178.0,2692.521761529572,1554.79880668796,4.0,33.923956773246616,0.0,0.0,0.0,0.0,0.0,0.009963955785044528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7197253551294145,0.07219521859327731,0.0
E01000010,Unknown,2,38.45760673853685,14.88205427742965,1452.0,E01000010,0.589,0.139,4740.0,4199.123693813318,1156.3588602276939,13.0,121.04387511122442,0.0,0.0,0.03180367803183084,0.0,0.0,0.03477672363875539,0.0,0.0,0.0,0.0,0.0,0.0,0.1707230601842895,0.0,0.0,0.1616393199075378,0.17079446343930746,0.0
E01000011,Unknown,6a,36.2990885220835,27.722053977529526,1443.0,E01000011,0.0,0.13,3.0,1502.9939818358355,64.39254510923013,1.0,121.96846986059795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08137368500424294,0.0,0.0,0.8720522521987688,0.003227023472542867,0.0
E01000012,Unknown,4,32.11253927291698,2.254283238283068,1396.0,E01000012,0.5293123162359475,0.1508,1831.4,1498.9195778299204,5864.036346419403,1.0,211.21925590686843,0.0,0.0,0.0,0.0,0.0,0.003702834558885593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753253658680048,0.10854590804737835,0.02300636267009515
E01000013,Unknown,3,21.359150454872875,1.985218686985702,1524.0,E01000013,0.661,0.205,232.0,2550.144823547985,1577.0278249595256,8.0,30.36219485815081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8590165270615083,0.02402732301955878,0.0
E01000014,Unknown,2,16.85451714340575,2.276307563855096,1538.0,E01000014,0.599,0.15960000000000002,2.0,2903.1817819359326,892.4356262580193,1.0,281.78623888876353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5275093107191428,0.0,0.0,0.41546416078791343,0.0,0.0
E01000015,Unknown,2,14.95994869620189,2.156484516690699,1561.0,E01000015,0.609,0.018,387.0,2820.6782191338434,2763.1376186291495,2.0,341.85450928693797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031285119232300596,0.0,0.0,0.0,0.0,0.20045686687980283,0.0,0.0,0.6767407113900945,0.0,0.015183926723317679
E01000016,Unknown,2,15.222230443529696,2.739288926597727,1639.0,E01000016,0.546340520464176,0.1256,148.4,2413.9011065467857,2138.0922354826985,3.0,223.11974290154734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1727313006249587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8236669974395266,0.0022548379622899287,0.0
