LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000294,0.86,1,,Very Positive,2.7,1216
E01000295,0.772,2,0.027,Very Positive,4.55,162
E01000296,0.666,1,,Positive,5.0,1
E01000297,0.532,1,,Neutral,2.1,7
E01000298,0.436,4,0.292,Neutral,3.6,1932
E01000299,0.499,9,0.211,Neutral,4.311,175
E01000300,0.711,1,,Very Positive,4.9,7
E01000301,0.488,2,0.059,Negative,3.3,304
E01000302,0.238,2,0.337,Negative,4.5,5
E01000305,0.553,3,0.041,Neutral,4.5,1049
E01000307,0.607,3,0.152,Negative,4.233,20869
E01000311,0.628,1,,Positive,4.5,1604
E01000313,0.301,2,0.425,Positive,4.6,568
E01000315,0.446,3,0.167,Neutral,3.9,53
E01000316,0.433,3,0.375,Positive,3.2,1366
E01000317,0.0,1,,Very Negative,5.0,1
E01000318,0.633,1,,Positive,5.0,8
E01000320,0.758,3,0.035,Very Positive,4.867,165
E01000321,0.795,2,0.092,Very Positive,4.85,198
E01000322,0.73,2,0.024,Very Positive,4.5,41
E01000323,0.567,9,0.257,Very Positive,4.056,534
E01000327,0.54,3,0.077,Negative,4.167,251
E01000328,0.0,1,,Very Negative,5.0,1
E01000329,0.642,2,0.125,Neutral,4.7,270
E01000331,0.463,9,0.361,Very Positive,4.611,3712
E01000333,0.677,2,0.014,Positive,3.35,262
E01000335,0.722,1,,Very Positive,1.8,17
E01000337,0.64,2,0.052,Positive,4.5,37
E01000346,0.594,2,0.039,Neutral,3.3,54
E01000348,0.544,1,,Neutral,4.6,18
E01000352,0.581,1,,Neutral,5.0,8
E01000353,0.557,1,,Neutral,4.2,17
E01000354,0.694,2,0.168,Neutral,4.85,29
E01000355,0.72,2,0.111,Positive,3.8,69
E01000356,0.518,1,,Neutral,3.0,5
E01000358,0.603,1,,Positive,3.6,5
E01000360,0.525,13,0.191,Negative,4.331,212
E01000361,0.687,1,,Positive,4.4,601
E01000362,0.532,19,0.215,Neutral,4.174,8165
E01000363,0.768,1,,Very Positive,4.7,3
E01000364,0.604,4,0.125,Negative,4.75,8
E01000365,0.621,5,0.275,Very Positive,3.94,120
E01000367,0.678,1,,Positive,2.5,22
E01000370,0.858,3,0.086,Very Positive,4.867,127
E01000373,0.559,2,0.01,Neutral,4.05,40
E01000374,0.566,1,,Neutral,4.2,17
E01000377,0.638,1,,Positive,4.8,23
E01000378,0.458,8,0.313,Very Negative,4.312,1340
E01000381,0.362,2,0.512,Very Negative,4.15,12
E01000382,0.689,1,,Positive,4.6,1413
E01000383,0.375,3,0.327,Neutral,4.633,26
E01000384,0.606,1,,Positive,4.3,7
E01000388,0.719,2,0.047,Positive,4.7,53
E01000389,0.686,1,,Positive,4.9,19
E01000390,0.565,5,0.318,Positive,4.52,3009
E01000392,0.364,2,0.515,Very Negative,2.85,44
