Station,latitude,longitude,address
Dalston Junction,51.5452841,-0.074968,"Dalston Junction, Dalston Lane, De Beauvoir Town, Dalston, London Borough of Hackney, Greater London, England, E8 3DE, United Kingdom"
Dalston Kingsland,51.5481908,-0.0760535,"Dalston Kingsland, Kingsland High Street, Dalston, London Borough of Hackney, Greater London, England, E8 2JS, United Kingdom"
Debden,51.5942275,-0.0834918,"Deden, 1-104, Gloucester Road, Broadwater Farm Estate, West Green, London Borough of Haringey, Greater London, England, N17 6LP, United Kingdom"
Denmark Hill,51.468043,-0.0896031,"Denmark Hill, Windsor Walk, Denmark Hill, Camberwell, London Borough of Southwark, Greater London, England, SE5 8BB, United Kingdom"
Deptford Bridge,51.4741638,-0.0223933,"Deptford Bridge, Royal Borough of Greenwich, Greater London, England, SE8 4HN, United Kingdom"
Devons Road,51.5222078,-0.0172729,"Devons Road, Corsican Square, Lime Quarter, Bromley-by-Bow, Poplar, London Borough of Tower Hamlets, Greater London, England, E3 3PJ, United Kingdom"
Dollis Hill,51.5519333,-0.2390026,"Dollis Hill, Chapter Road, Dudden Hill, Dollis Hill, London Borough of Brent, Greater London, England, NW2 5ND, United Kingdom"
Ealing Broadway,51.5149803,-0.3004067,"Ealing Broadway, The Broadway, London Borough of Ealing, Greater London, England, W5 2NU, United Kingdom"
Ealing Common,51.5097107,-0.2881658,"Ealing Common, Granville Gardens, London Borough of Ealing, Greater London, England, W5 3PA, United Kingdom"
Earls Court,51.484835,-0.1842186,"Royal Mail West Brompton Earls Court Delivery Office, Barker Street, Lot's Village, Brompton, Royal Borough of Kensington and Chelsea, Greater London, England, SW10 9EN, United Kingdom"
East Acton,51.5173451,-0.248137,"East Acton, Fitzneal Street, London Borough of Hammersmith and Fulham, Greater London, England, W12 0BB, United Kingdom"
East Finchley,51.5871881,-0.1648137,"East Finchley, The Causeway, Hampstead Garden Suburb, London Borough of Barnet, Greater London, England, N2 0NW, United Kingdom"
East Ham,51.5330843,0.0544661,"East Ham, Greater London, England, E6 6EU, United Kingdom"
East India,51.5093835,-0.0021873,"East India, Blackwall Way, Blackwall, London Borough of Tower Hamlets, Greater London, England, E14 9GN, United Kingdom"
East Putney,51.4586138,-0.2112429,"East Putney, Station Approach, Putney, London Borough of Wandsworth, Greater London, England, SW15 2SZ, United Kingdom"
Eastcote,51.5766614,-0.3965092,"Eastcote, Telcote Way, London Borough of Hillingdon, Greater London, England, HA4 9EP, United Kingdom"
Edgware,51.6136623,-0.2749555,"Edgware, Bakery Lane, London Borough of Barnet, Greater London, England, HA8 7YE, United Kingdom"
Edgware Road B,51.5166109,-0.1655745,"Diwan Damas, 121b, Edgware Road, Marylebone, City of Westminster, Greater London, England, W2 2HX, United Kingdom"
Edgware Road C&H,,,
Edmonton Green,51.6244998,-0.0614019,"Edmonton Green, The Broadway, Lower Edmonton, Edmonton, London Borough of Enfield, Greater London, England, N9 0TP, United Kingdom"
