LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01003925,407500.0,17.71415842572923,16.660980037840016,1566.0,0.0881231576612922,0.4397503718242401,0.064,83.78350602289673,270.7240098276358,20,437.1494882952102,1101.229810628001,0.0124962602067427,16,2,86439.99752382823
E01003926,455000.0,16.89769005491622,15.713916733261176,1401.0,0.1069837870982814,0.6702370595921829,0.1526447931063258,3044.3538690560667,153.37115597086574,16,455.39110197180054,721.0225535186912,0.006739542420305,15,3,58437.94604872629
E01003927,537500.0,66.26796791050664,66.13916884078048,1537.0,0.2825454506499961,0.429,0.289,589.0,103.30303794207056,29,223.00435966061897,5463.912595768283,0.0193381722593605,115,6,237076.9458833392
E01003929,690000.0,73.21637365172853,69.41537497577136,1418.0,0.288422292133176,0.519,0.206,6952.0,57.8860454379932,37,29.55781146719357,5086.624715163509,0.0176361585310453,111,7,172158.88956956117
E01003930,540000.0,85.10295831923,87.48688491835973,1573.0,0.1078239537633596,0.5831998575760448,0.1618387499435789,6980.855410328523,71.4533907827787,34,27.41993710051464,2199.6471313868706,0.0203996191586531,53,5,74768.29066899835
E01003932,427500.0,71.62347496020563,71.6496759280381,1647.0,0.122283635808903,0.619,0.075,704.0,63.53362941889016,35,114.32588130484474,1638.2864162596477,0.0133927084950882,36,6,64306.92018070227
E01003933,670000.0,58.206479670418496,57.80682271529113,1623.0,0.2210278366076228,0.681,0.081,30167.0,179.99685881886938,40,280.11339217974427,2588.869291313677,0.0117164739333051,53,5,159142.97458214278
E01003934,868125.0,65.87564009470613,73.52693284428892,1372.0,0.3222794748441221,0.5973383020204954,0.1563718148177584,10276.046936460496,49.35348168514429,22,91.98985706545442,3626.132103095355,0.0112885132726415,74,7,187774.07068026255
E01003935,1400000.0,63.94557671357411,62.573301755867895,1545.0,0.1810728987509853,0.528,0.047,41.0,74.02022444230784,22,258.36120911527297,1572.9301189194066,0.0086866975867307,37,5,139774.42871807635
E01003936,687500.0,44.800049006068335,48.1621484099049,1901.0,0.09450743926248,0.619,0.052,330.0,101.2018219658958,21,472.31537119671583,1418.1128856826588,0.0150443615128688,40,6,88307.94364537494
E01003937,447500.0,61.50300106439545,65.12591400011681,1607.0,0.095824397072821,0.819,0.1291361142530932,1371.0,117.38734392809852,34,161.96153584677265,1561.5921367857668,0.0162802297240813,27,4,82569.18491937278
E01003938,415000.0,47.18078297557641,46.21143647902268,1474.0,0.076901700696328,0.591,0.041,547.0,97.56981992011386,21,522.8726741535404,1353.4394888851598,0.0175267543348034,27,8,91560.8295777512
E01003939,616000.0,65.37011437235056,63.42444847254158,1549.0,0.1531754102670544,0.554,0.227,669.0,117.71726656769889,35,327.7452911744343,2168.4405839827405,0.014167228841417,49,6,101151.6330400999
E01003940,435000.0,18.949802383159884,20.20035876192533,1437.0,0.054469720874014,0.821,0.1859316426128547,17.0,208.5652140103791,23,616.8636435125571,747.2504987672223,0.0137718335305741,18,2,53958.344007702544
E01003941,625000.0,23.005499731443685,20.47944890593987,1060.0,0.0937179280969753,0.413,0.36,26.0,97.14904330347458,26,600.477023192842,1405.3523473605276,0.0150045461021362,31,5,84999.37633968078
E01003942,480000.0,25.098447055810073,24.680417317469583,1481.0,0.1186462106450439,0.5440518915792029,0.2765634469418894,6877.248805330478,73.53266676769019,24,656.0735445252614,1717.7399502003543,0.0144404768605455,22,2,72345.09035830518
E01003943,537750.7295529939,55.933886131384675,55.53275334250161,1552.0,0.0608571438260909,0.5730458258851907,0.1749740876900425,6706.596953154308,206.15838286072469,32,202.36217346296633,896.8154636525657,0.0147514257104711,18,2,56311.70639003134
E01003945,488500.0,6.864613829997221,7.189149545270504,1406.0,0.8378234250920371,0.596,0.019,418.0,376.9492950437893,9,633.5533640780019,4204.892890689025,0.0050188467372646,49,7,783005.7769058575
