LSOA_CODE,AvgPrice,MEAN_PTAL_2023,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01002174,753500.0,2.0,1511.0,0.208065,0.577,0.127,70.0,148.14198048300926,8,1429.1296420955255,2274.2398572041025,0.010935464584305788,33,2,171295.11917250787
E01002175,655000.0,2.0,1328.0,0.20625,0.6074999999999999,0.127,77.0,157.67909769309344,12,1277.9082505496453,2035.971332609082,0.009875922988038327,23,2,164168.82504415276
E01002176,710000.0,2.0,1496.0,0.381544,0.6074999999999999,0.127,77.0,324.47390256051403,5,967.0938992860187,2425.6066128029593,0.006360280741850152,21,6,346837.12714494823
E01002177,625000.0,3.0,1348.0,0.204381,0.692,0.262,9.0,188.02566788908618,7,1351.990654311117,1715.3999839166454,0.008397053239015198,17,3,148803.54466860447
E01002178,650000.0,3.0,1572.0,0.203677,0.613,0.127,99.0,358.5141190473669,7,1112.5331327911904,2699.0811303314626,0.013257898017579178,31,3,178210.81233658007
E01002179,530000.0,4.0,1594.0,0.254309,0.59,0.132,131.0,48.90317746450178,17,30.85268680516222,3526.7447590590364,0.013874492475343544,65,4,178189.96340927787
E01002180,315000.0,3.0,1578.0,0.387535,0.542,0.192,2176.0,55.0268743432902,15,198.7345966545138,3301.4755249633954,0.008523149411882657,63,5,217564.1225395876
E01002181,448000.0,2.0,1490.0,0.409139,0.866,0.127,10.0,149.39768540253075,9,392.39316183609805,2954.0624797908713,0.007223614920710816,38,2,357889.4220863574
E01002182,600000.0,3.0,1601.0,0.200714,0.839,0.127,176.0,321.4048709758355,6,473.23676288615655,3001.898113509995,0.014963178367079192,33,2,167490.81472263535
E01002183,563750.0,2.0,1559.0,0.186263,0.308,0.435,3.0,117.25792886672387,6,722.9298093022094,3224.1165600436025,0.017317605996950102,52,2,168810.24001684145
E01002184,575000.0,3.0,1604.0,0.208504,0.655,0.056,345.0,316.31077173783984,4,794.4539582431236,2079.423956035801,0.009977714494391358,39,3,173854.97066776967
E01002185,492625.0,3.0,1617.0,0.172256,0.6074999999999999,0.127,77.0,171.91417701759255,13,1193.1271232979682,1895.0147374391925,0.011006617327733151,28,1,151069.24287159854
E01002186,460000.0,2.0,1530.0,0.316342,0.6074999999999999,0.127,77.0,66.46983918553842,11,750.4898000277467,2103.8193996506075,0.006653738494385125,25,3,253544.77955101634
E01002187,915000.0,3.0,1712.0,0.483406,0.6074999999999999,0.127,77.0,73.72927791333983,11,810.8760844439283,3764.180761836158,0.007790608808436258,53,4,420423.6725422747
E01002188,1326000.0,2.0,1670.0,0.489412,0.527,0.127,1.0,531.4588250829704,0,608.4736209222684,4299.41105438025,0.008789132174802795,44,4,457696.47426345677
E01002189,735000.0,2.0,1431.0,0.44467,0.642,0.108,2066.0,243.45206624743767,11,242.92238270045996,4079.4035917952133,0.009178469990838739,45,6,384935.73589014844
E01002190,1025000.0,3.0,1786.0,1.365065,0.6074999999999999,0.127,77.0,578.0850831142131,0,1679.7881330030093,3987.450918663442,0.0029225121854588817,46,5,899335.8929516537
E01002191,738000.0,3.0,1708.0,0.48955,0.681,0.084,788.0,83.21162390462379,7,754.0471547475228,3367.3384709913407,0.006881795505690921,32,4,414418.6817791803
E01002192,760000.0,2.0,1507.0,0.452816,0.624,0.075,2343.0,381.30091868227896,4,347.436567484085,3327.397707568732,0.007351838285397235,33,3,375253.59247419605
E01002193,781250.0,3.0,1485.0,0.334214,0.705,0.127,65.0,100.1654547236438,16,403.72480277921636,2799.8739473750666,0.008381571574471992,35,4,329405.5479773763
E01002194,1042500.0,2.0,1653.0,0.425586,0.786,0.127,19.0,280.8921026944648,6,669.3416956382779,4361.659862591135,0.0102536351008528,49,3,370969.0764181445
E01002195,695000.0,3.0,1528.0,0.27878,0.6074999999999999,0.127,77.0,49.56300781621554,14,909.864940709349,3957.0563680086566,0.014201130166016769,48,4,273478.23527742224
E01002196,792500.0,3.0,1714.0,0.373635,0.6074999999999999,0.127,77.0,322.7359300459457,9,985.7751539057854,3414.829989252334,0.009143962739271268,35,2,329146.76346149517
E01002197,615000.0,2.0,1166.0,0.185259,0.763,0.127,18.0,337.40152273911184,6,1447.6976750995022,2141.5334765191137,0.011565011515497953,23,2,186841.04031156178
E01002198,530000.0,2.0,1592.0,0.174699,0.6074999999999999,0.127,77.0,143.32981340685964,10,390.8963121322867,2072.6825313508257,0.011869647545601486,20,2,132713.33035094012
E01002199,600000.0,2.0,1301.0,0.170864,0.6074999999999999,0.127,77.0,204.2881303252106,10,1544.7777279830157,2308.794742192711,0.013518663769634249,29,1,144517.28783561918
E01002200,501000.0,2.0,1461.0,0.348944,0.6074999999999999,0.127,77.0,113.16862795617662,11,717.2852178083674,2070.819987865386,0.005937218804209106,21,3,270526.72719617106
E01002201,530000.0,3.0,1570.0,0.265667,0.6074999999999999,0.127,77.0,273.0548825243006,9,1164.6792012740552,3117.2027892538154,0.011738876803449063,35,2,236513.45066795606
E01002202,405000.0,2.0,1606.0,0.18928,0.849,0.127,18.0,125.37536304665244,15,521.3563647650838,3606.895944877533,0.019064554512679823,77,3,132899.26036909645
E01002203,512500.0,2.0,1519.0,0.278873,0.718,0.127,245.0,141.33849099067547,8,659.7035115853611,3136.14534610211,0.011250876735270688,40,3,210493.20077904576
E01002204,530000.0,3.0,1545.0,0.178033,0.443,0.12,116.0,70.37298738093995,14,406.4312420234222,2939.993401524559,0.016521732660447763,41,3,163478.80427424604
E01002206,551500.0,3.0,1265.0,0.175331,0.6074999999999999,0.127,77.0,145.72948430878722,16,330.51665427898394,2001.5986352785778,0.011421607707583324,22,3,158570.93847118333
E01002207,550000.0,3.0,1498.0,0.181508,0.6074999999999999,0.127,77.0,305.2215175263688,8,675.0844472708895,2246.9848211399444,0.01238555685750501,19,2,181419.6441044875
E01002208,820500.0,3.0,1361.0,0.292381,0.6074999999999999,0.127,77.0,314.25625146731034,10,544.2483469778359,3249.2397880126196,0.011118438470194116,34,5,261698.98577102067
E01002209,312000.0,3.0,1468.0,0.271984,0.41,0.153,43.0,97.18147539286329,12,229.9338159950464,3115.8443807336516,0.011461537223365039,49,4,177936.5988296914
E01002210,640000.0,3.0,1504.0,0.205393,0.621,0.127,24.0,289.3363862700247,11,362.84616594197956,2653.3743563308617,0.012924790685069545,25,2,205293.41023649857
E01002211,530000.0,2.0,1486.0,0.171471,0.55,0.127,107.0,83.08307916960925,15,438.1720823965433,1357.9314518671242,0.007923139240261433,23,3,162533.41400139517
E01002212,400000.0,2.0,1588.0,0.275002,0.6074999999999999,0.127,77.0,83.73133605443437,14,778.3450829210855,3023.7676038940212,0.011000742362852513,48,3,175381.00304706927
E01002213,365500.0,3.0,1714.0,0.286914,0.6074999999999999,0.127,77.0,285.16148352833915,11,53.11136779582656,2952.5819696763388,0.01029573648424825,35,3,239097.5917926525
E01002214,545000.0,2.0,1550.0,0.181155,0.6074999999999999,0.127,77.0,249.90109331970282,13,801.0448780725279,1967.5403457364284,0.01086634624999253,25,1,177708.228403637
E01002215,363500.0,2.0,1590.0,0.171734,0.6074999999999999,0.127,77.0,79.33732065742082,6,925.3631677720226,1858.2148933274411,0.010825529486803476,26,1,151420.19533033032
E01002216,493000.0,2.0,1589.0,0.268843,0.6074999999999999,0.127,77.0,166.29212094934016,9,932.9234586746334,2038.2064532861054,0.007585081265475624,27,2,185999.1589705866
E01002217,395750.0,2.0,1621.0,0.151241,0.6074999999999999,0.127,77.0,111.68232779289391,8,204.18296905160395,2075.9934412613884,0.01373300105705244,30,1,90725.06530326215
E01002218,330000.0,3.0,1441.0,0.326583,0.408,0.127,3.0,259.7984174619873,11,520.3180917677089,3270.1051704344504,0.010017895309680521,56,4,287332.586890745
E01002219,500000.0,4.0,1594.0,0.293396,0.705,0.093,35.0,239.88702113888684,12,223.25051810701714,2056.3833907967783,0.007012244909952682,24,5,264828.4118372846
E01002220,530000.0,2.0,1537.0,0.189702,0.6074999999999999,0.127,77.0,241.42672524991852,5,609.7118248498468,2537.023341773722,0.013380210820349557,42,1,162464.13384871627
E01002221,562525.0,3.0,1379.0,0.170911,0.6074999999999999,0.127,77.0,83.74268375172645,9,177.11426169344065,1958.0097617274312,0.011461807455725653,29,4,140489.77144902578
E01002222,592500.0,2.0,1548.0,0.209101,0.6074999999999999,0.127,77.0,424.0125583651696,4,328.1411466138329,1908.8625094027009,0.009133291139298632,24,1,180751.13052243754
E01002223,522500.0,3.0,1731.0,0.203932,0.6074999999999999,0.127,77.0,302.9258798793251,10,410.81656073127414,2339.943916140771,0.011479722594478119,21,2,171871.37275820712
E01002224,560000.0,3.0,1503.0,0.182731,0.6074999999999999,0.127,77.0,285.9453654205356,8,313.41801708445104,1729.8685484491264,0.009471319286257277,22,2,160984.3695058032
E01002226,501000.0,2.0,1515.0,0.610038,0.683,0.127,56.0,70.27282033170428,10,795.5963342319601,5042.400805791809,0.00826954596766114,58,3,466514.75291552424
E01002227,580000.0,3.0,1638.0,0.327195,0.6074999999999999,0.127,77.0,215.26969691669362,8,1948.3872513794142,2398.4659009732363,0.007333817712576888,22,3,260862.51316766953
E01002228,747500.0,3.0,1476.0,0.419318,0.547,0.022,15.0,175.46802711703,7,1383.2594882682638,3486.2439042685605,0.008317943919957112,50,2,299919.7703822134
E01002229,535000.0,3.0,1585.0,0.630914,0.704,0.127,212.0,634.0113808199494,0,1205.7473830553604,2078.856979333087,0.0032965201670459975,39,5,294120.1558449115
E01002230,709000.0,3.0,1638.0,0.43014,0.6074999999999999,0.127,77.0,331.44804585587804,4,1868.4832234208313,2788.765789169403,0.006486413367463567,28,3,307972.4921489058
E01002231,550000.0,3.0,1601.0,0.214877,0.6074999999999999,0.127,77.0,205.33221011293165,9,1069.7561983508695,2030.522678419102,0.009454131546737804,30,3,195679.16015778767
E01002232,525000.0,2.0,1508.0,0.220141,0.665,0.085,320.0,255.5728792981377,9,934.6182160856231,2803.745597701405,0.012742180318195013,42,2,179743.92599024938
E01002233,366900.0,3.0,1574.0,0.202193,0.626,0.106,238.0,123.40108412448814,8,640.9287689248663,2153.7490397617166,0.010656955031669968,35,2,158524.09863486508
E01002234,497500.0,3.0,1373.0,0.164273,0.585,0.127,15.0,331.14223957522347,4,776.3109992559905,2490.603786638257,0.015168525755701696,35,3,137578.72099291722
E01002235,491000.0,2.0,1674.0,0.172002,0.604,0.119,57.0,310.58901562765334,7,813.5407630731413,2678.0937316725576,0.015577417292007893,32,3,166936.19428191174
E01002236,469950.0,2.0,1470.0,0.220094,0.696,0.11,20.0,276.0779650825735,10,358.24607839380894,2233.048855644182,0.010150697351675314,32,5,132748.95782329113
E01002237,352500.0,5.0,1559.0,0.143965,0.661,0.127,22.0,214.67929700424867,9,177.15232015597255,1606.5233354386692,0.011164436888559132,24,1,114225.76520062791
E01002238,554000.0,2.0,1651.0,0.343596,0.318,0.45,33.0,100.0191146230024,12,121.06516306486215,2262.799393807571,0.006588795050039214,33,3,278220.682191748
E01002239,601000.0,2.0,1543.0,0.360588,0.6074999999999999,0.127,77.0,345.7328823709722,8,481.06750558718824,3961.693578583626,0.010992055116724419,42,4,287229.144571993
E01002240,540000.0,3.0,1595.0,0.168438,0.475,0.432,97.0,122.32706757583314,10,405.14791425128357,2241.2146160341154,0.013312166463231622,32,3,158033.10189206048
E01002241,590000.0,2.0,1779.0,0.235456,0.6074999999999999,0.127,77.0,351.06727153878563,5,353.95665763160446,1957.605310502849,0.008318111174428886,18,1,177613.36613993952
E01002242,680000.0,3.0,1768.0,0.269859,0.6074999999999999,0.127,77.0,171.0950483189735,13,355.47738374995777,3235.4211288138667,0.011995069653078956,36,2,244745.27136262247
E01002243,276500.0,4.0,1385.0,0.236267,0.666,0.148,152.0,203.8597375381033,15,828.1955854364511,2718.7508876513866,0.011509852207592184,39,3,196134.85288588345
E01002244,443500.0,2.0,1504.0,0.334662,0.701,0.087,157.0,163.6922100222276,9,826.6673513802283,2683.1203390369196,0.00801934550325854,31,8,280073.7448581653
E01002245,450500.0,3.0,1424.0,0.255174,0.0,0.127,2.0,270.5880037086196,16,1074.664726403458,3304.6800602718413,0.01295381718093802,41,4,190562.48732540006
E01002246,435500.0,3.0,1623.0,0.543143,0.726,0.127,13.0,138.90643367886716,7,563.3992089975892,2955.8692596449723,0.005443500165387445,36,8,517149.4968355159
E01002247,386500.0,3.0,1587.0,0.327002,0.63,0.104,1763.0,51.83509202984799,6,330.7923128481207,2525.4867164199663,0.007725017988060766,36,4,219955.3480469505
E01002248,430000.0,2.0,1327.0,0.53582,0.632,0.121,1743.0,118.4606795237384,8,535.5843817102703,3400.9294865624897,0.006348686370402399,45,7,382000.277068438
E01002249,332500.0,3.0,1329.0,0.573027,0.662,0.14,152.0,174.47332361724528,19,469.35895401494645,2749.903325875855,0.004800044922925394,33,5,375602.968128218
E01002250,435000.0,3.0,1517.0,1.071904,0.492,0.033,26.0,74.94471831867371,6,510.724876106421,2642.517227788845,0.0024658708254500536,19,7,462590.41540088673
E01002251,530000.0,2.0,1428.0,0.325435,0.6074999999999999,0.127,77.0,130.16689413560854,6,676.9259992674049,2299.6740996969183,0.007068187111547361,24,3,169161.9454376648
E01002253,536100.0,3.0,1558.0,1.02848,0.506,0.127,43.0,211.60207369601758,9,1192.9223642865895,4531.228504619721,0.00440661917371278,47,7,890397.571849954
E01002254,650000.0,3.0,1546.0,0.562528,0.608,0.127,5.0,338.51368280467375,5,228.6845385292715,3760.6942878589807,0.006686628114281285,38,3,521012.30354010663
E01002255,430500.0,3.0,1488.0,0.591951,0.6074999999999999,0.127,77.0,428.98406197175655,2,542.7038112072308,2252.505259730648,0.003805997033674321,23,4,469703.0584874354
E01002256,483000.0,3.0,1485.0,0.279524,0.6074999999999999,0.127,77.0,164.0720232193311,9,495.60119518520156,2980.524696521638,0.010664855426184108,37,2,279504.87339869863
E01002257,1095000.0,3.0,1618.0,0.757717,0.684,0.074,279.0,58.681799240989676,11,362.8123253374563,4324.709333717219,0.005708682249598319,34,2,562850.875872924
E01002258,298500.0,3.0,1613.0,0.300724,0.6074999999999999,0.127,77.0,57.346619665845495,15,786.6991786123469,3347.6675105534455,0.011134136719825537,37,4,327408.2056898701
E01002260,475000.0,3.0,1483.0,1.115321,0.608,0.032,2593.0,581.5142836343202,0,304.0662548693879,3622.8214155750743,0.0032489851950087377,43,5,1010989.60199957
E01002261,456500.0,3.0,1565.0,0.206988,0.621,0.24,71.0,110.3069431876265,15,154.3652291341616,3300.340303025249,0.015948184113717408,37,3,180528.4746970652
E01002262,427500.0,2.0,1537.0,0.223277,0.694,0.135,222.0,167.42910952205239,13,268.45565318536984,3498.855848080303,0.015674038071585808,47,2,198995.88949399887
E01002263,430000.0,3.0,1451.0,0.851604,0.583,0.114,514.0,362.47676064354954,5,1589.1325056192627,3045.0399872767885,0.0035764434282339096,42,5,916688.4730987969
E01002264,366500.0,2.0,1483.0,0.202604,0.681,0.127,122.0,242.41493068039384,15,692.2239255984765,2809.694089979938,0.013871013654218382,47,2,178883.32638163492
E01002265,442500.0,3.0,1478.0,0.515227,0.636,0.127,524.0,271.8886277775675,6,1390.9598348833113,1273.6978647788887,0.0024726510941013987,21,6,564864.6484697327
E01002266,460000.0,3.0,1442.0,0.344249,0.558,0.127,182.0,200.76806404719042,6,807.6613290436678,3149.954718741473,0.009152337826822513,47,4,193891.41697292926
E01002267,407500.0,2.0,1596.0,0.208853,0.6074999999999999,0.127,77.0,187.36184227989835,12,1039.6401773482175,2521.617123370782,0.012076390750758989,38,1,192967.90065643034
E01002268,535000.0,3.0,1284.0,0.846628,0.714,0.131,445.0,262.907126726788,1,1168.1352005190693,4459.401185414877,0.005268343928491516,46,6,666295.6688495146
E01002269,513750.0,3.0,1703.0,0.76892,0.6074999999999999,0.127,77.0,134.65108980545108,3,1741.3178435021034,4317.264643280603,0.005615859256617995,40,7,682243.1515998538
E01002270,1200000.0,3.0,1499.0,0.678259,0.574,0.016,10.0,332.7074575236696,7,1085.5109322430537,5106.495607037896,0.007530438404687406,45,1,654279.8215107674
E01002271,930000.0,3.0,1414.0,0.548699,0.6074999999999999,0.127,77.0,320.93074854614474,4,1263.9868350940283,4055.0778014979664,0.007391898341527933,48,2,516996.6582675522
E01002272,530000.0,2.0,1368.0,0.225512,0.665,0.127,105.0,177.64466480628755,19,334.7436329788324,2899.0875836759415,0.012858415109771875,44,2,203769.65337062237
E01002273,635000.0,3.0,1322.0,0.834105,0.6074999999999999,0.127,77.0,117.52817334544132,7,987.2369293757542,3272.76225358364,0.003924482211153785,22,5,778365.5963082751
E01002274,463500.0,2.0,1549.0,0.307029,0.262,0.37,29.0,203.07617660582017,13,432.5300714688403,4412.058022599456,0.014373315225484724,50,3,275446.56915045355
E01002275,1035001.0,3.0,1252.0,0.430725,0.6074999999999999,0.127,77.0,421.1537360332179,2,492.45655642065213,3524.0875851533942,0.008183479001984188,34,2,422314.19375777955
E01002278,405000.0,2.0,1510.0,0.227644,0.6074999999999999,0.127,77.0,189.8579523790367,20,2003.2625821753913,2744.212044205115,0.01205739884129168,43,3,198945.7297949196
E01002279,428000.0,2.0,1505.0,0.359715,0.587,0.127,7.0,74.29924447159893,14,1508.5896895391459,3349.2631594139098,0.0093128278927752,43,4,290980.5925924377
E01002280,340000.0,2.0,1531.0,0.15729,0.6074999999999999,0.127,77.0,217.00820100693042,16,2152.0157901667203,2081.4699390115384,0.013236202493247754,36,1,150993.06672632834
E01002281,341250.0,2.0,1575.0,0.407985,0.576,0.127,2.0,121.93285127925417,20,1455.3485873451614,3481.7013143071426,0.008535691194481812,48,6,463550.9706933015
E01002282,530000.0,2.0,1564.0,0.277076,0.598,0.073,440.0,111.02543179273174,20,1743.9055362659944,4211.592547662292,0.015203414912785707,62,5,277468.4779950936
E01002283,410000.0,2.0,1437.0,0.22685,0.6074999999999999,0.127,77.0,133.16847070382516,19,830.2354546204782,2922.6565436828087,0.012886328090195206,37,3,200366.51118119
E01002284,382000.0,2.0,1586.0,0.273313,0.6074999999999999,0.127,77.0,163.172318383931,17,1535.2668976842058,2792.853396285163,0.010220707565832434,52,2,226600.47846149115
E01002285,557998.0,2.0,1510.0,0.457654,0.675,0.127,7.0,132.16075126731047,10,567.3863813857886,2830.2509037076547,0.006185593221584564,33,5,310926.82821447565
E01002286,469025.0,3.0,1701.0,0.236925,0.6074999999999999,0.127,77.0,545.4868520615838,0,679.9316106637808,3282.8665147097236,0.013859198442893165,35,1,212236.56937238775
E01002287,472500.0,2.0,1600.0,0.225277,0.6074999999999999,0.127,77.0,251.83905673321692,14,599.4198783829821,3003.8289299858207,0.013336922416255762,24,2,189780.22448346717
E01002288,451000.0,3.0,1553.0,0.340303,0.767,0.127,117.0,120.9887535706304,8,928.243107140574,2171.598364085984,0.006382756176350638,31,4,326657.93525961065
E01002289,535000.0,2.0,1583.0,0.271533,0.6074999999999999,0.127,77.0,216.74204354215192,9,454.76007302390946,3320.302132130942,0.012230527983777733,43,3,234330.69302205183
E01002290,500000.0,2.0,1549.0,0.279024,0.6074999999999999,0.127,77.0,289.204001609858,12,327.6354457291388,3533.2102487774955,0.01266543318415317,36,2,268882.8562730159
E01002291,297500.0,3.0,1561.0,0.302916,0.717,0.241,81.0,246.4733814004807,6,58.29100693689618,3266.2480122294187,0.010785038229573466,38,2,241312.94567763997
E01002292,550000.0,3.0,1533.0,0.347622,0.6074999999999999,0.127,77.0,121.92553145645971,6,794.0104483323353,4370.947619170922,0.012576483589542064,42,5,338630.9912872186
E01002293,327500.0,3.0,1484.0,0.687836,0.643,0.205,843.0,208.4706598564046,3,676.1602983069766,5056.133509632384,0.007352359211808031,68,5,513510.8448320366
E01002294,545000.0,3.0,1497.0,1.233046,0.649,0.059,47.0,149.8989465284479,6,615.3452926686947,3663.9654857007595,0.002972080440272745,37,7,1195735.8690668913
E01002295,443750.0,2.0,1422.0,0.278188,0.6074999999999999,0.127,77.0,194.60799892529982,7,463.1093195501196,1852.3527869257546,0.006660059218652363,34,2,230008.4867693672
E01002297,371500.0,2.0,1485.0,0.217186,0.6074999999999999,0.127,77.0,32.039633506415356,15,1050.497735644178,3272.6202152178707,0.01507152139724322,40,4,186257.77139121195
E01002298,455000.0,2.0,1550.0,0.454147,0.6074999999999999,0.127,77.0,91.07705327854362,9,539.3914396257471,3918.1879395892706,0.008629349519110088,36,7,410050.0168956031
E01002299,380000.0,2.0,1504.0,0.337696,0.6074999999999999,0.127,77.0,37.36512578622776,15,874.2152874462407,3490.4922392196686,0.010338368534638891,47,4,257945.7935881734
E01002300,458000.0,3.0,1492.0,0.331307,0.756,0.157,16.0,184.2365512516482,10,390.0044141871482,3855.8708805274746,0.011640802757274641,44,2,283193.681490638
E01002301,450000.0,3.0,1563.0,0.274288,0.6074999999999999,0.127,77.0,195.16518440095038,12,3322.188716538549,2893.9124437093656,0.01055320855695211,33,3,269234.5298727444
E01002302,470500.0,2.0,1560.0,0.286301,0.679,0.127,160.0,203.1997112391851,12,3398.7194082206997,3028.93112499226,0.010582127212808629,54,4,294757.838501868
E01002303,312500.0,2.0,1528.0,0.286359,0.739,0.127,11.0,150.92050578531007,19,2978.0614678304364,3860.163592127894,0.013483366406096754,52,3,288817.1620379163
E01002305,428000.0,3.0,1612.0,2.769989,0.523,0.171,12.0,776.9207658356006,0,4273.269107340264,4125.994878305693,0.0014899062583758962,43,7,2568887.8781247074
E01002306,383000.0,3.0,1575.0,0.178993,0.6074999999999999,0.127,77.0,115.83901889928651,12,3534.907975540783,2066.3050065397333,0.011546867620652783,26,2,166483.44661485704
E01002307,450000.0,3.0,1692.0,0.238447,0.6074999999999999,0.127,77.0,75.97901905195941,10,3834.614201539041,2840.865738000041,0.011916961461683822,42,2,237867.01575209215
E01002308,427500.0,3.0,1489.0,0.453276,0.6074999999999999,0.127,77.0,120.0636120950562,6,3757.235400517953,2480.4977794128463,0.0054737480297632375,26,6,451991.98057002027
E01002309,446000.0,3.0,1459.0,0.278545,0.6074999999999999,0.127,77.0,166.9292735897398,9,1532.4243047503373,2630.210250635364,0.00944476834285441,24,4,260491.02901725806
E01002310,360000.0,2.0,1496.0,0.281421,0.476,0.127,9.0,132.9798186132902,13,945.7202434300524,2147.002281400237,0.007630816978476715,29,5,232820.41554625428
E01002311,420000.0,3.0,1555.0,0.935798,0.623,0.015,46.0,203.4300313710926,3,1798.025753661451,3084.0514813388972,0.0032963827302774254,36,4,586890.1727662359
E01002312,425000.0,3.0,1358.0,0.873609,0.6074999999999999,0.127,77.0,224.13488987207361,9,2923.081394200656,3767.0977626356466,0.004313057862132482,34,7,723638.6475648641
E01002313,375000.0,3.0,1468.0,0.393302,0.6074999999999999,0.127,77.0,57.89421357987863,11,2446.4982169045843,3239.4606796744765,0.008238408607412566,40,3,385241.7956976263
E01002314,365000.0,2.0,1483.0,0.188272,0.777,0.127,26.0,169.44071934266418,12,1880.0121097093115,2078.936044194487,0.01104461192688315,38,3,172105.2511566748
E01002315,379000.0,2.0,1481.0,0.218656,0.701,0.127,2.0,111.45099141272492,13,1736.1562183151607,2203.248485796544,0.010078548378766539,27,1,167309.14428408313
E01002316,305000.0,2.0,1489.0,0.245791,0.75,0.127,9.0,239.1481640495879,14,1372.609266933942,1715.2288889150952,0.006979915125808127,30,3,238845.8186971237
E01002317,605000.0,3.0,1473.0,0.374991,0.6,0.018,560.0,148.79989560788457,11,368.82079055280855,2631.1423736586084,0.007018122642790852,23,3,343593.7263649771
E01002318,550000.0,2.0,1556.0,0.29865,0.6074999999999999,0.127,77.0,47.66303157376124,8,511.26700910448676,2774.809762894565,0.009293239844679923,17,3,259804.11918744518
