LSOA_CODE,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01004047,29.0,12.735543183962028,1399.0,0.10117041017371346,0.6665831299695619,0.0722966057313657,958.9369385476766,121.58189099998368,16,623.1596136775032,2102.009215169101,0.020777177366663648,34,2,132548.94731492928
E01004048,50.3,10.004713560384443,1522.0,0.40415559871430357,0.654,0.039,89.0,291.64127179283884,14,403.67602514935817,1842.311199224394,0.004558733050376422,34,7,290150.06871282245
E01004049,33.4,17.77584866696779,1569.0,0.10726293505870788,0.6658130564444199,0.07920166673327345,462.9680740865281,174.7718518102785,18,424.0898365864959,651.993603450184,0.006076699782157499,7,4,140427.7363324204
E01004050,62.2,13.555392248293517,1479.0,0.18459265364470817,0.6464432531971007,0.05050587463236151,217.81765724298214,294.2239019026048,10,257.3512109320836,1599.1429416503183,0.008663137129812676,20,4,170421.28003452945
E01004051,63.8,18.327332982956403,1328.0,0.15113134185913515,0.724,0.09514641147996374,21.0,131.52822363419978,14,237.97423519841144,1409.2975083780273,0.00932503228898729,23,3,110981.08766776013
E01004052,59.1,12.985957333655778,1460.0,0.17279785427747585,0.6356376058523028,0.09022605832999493,170.04151162946795,62.85981083408611,17,317.0482147148991,2413.9677341433917,0.013960609572569997,48,6,162907.85094165
E01004053,64.2,11.164354842235038,1566.0,0.23333217160529512,0.5961063147038962,0.12847007170994992,295.1351613743723,71.88293896279217,8,677.4744243137386,1576.6258811840353,0.00675662811493961,22,5,82835.72097843258
E01004054,65.6,5.306565649257635,1437.0,0.24912839971978692,0.513,0.342,262.0,33.00380397872011,14,688.422776969043,705.3528698581883,0.0028315120401100004,10,3,84593.86924187143
E01004055,20.2,4.882794412587302,1356.0,0.1969538140911749,0.575896291663892,0.17289796534812069,1790.5177147325032,210.61040317492504,18,908.2466847691896,1181.3022048315026,0.005997703948117112,14,4,190061.3728174115
E01004056,50.5,4.949732429814073,1579.0,0.34295564973358,0.614,0.19086824534172545,126.0,34.143168821485496,17,664.6919952096983,1235.1553551146974,0.0036008508774202715,21,5,117417.61776018067
E01004057,48.0,9.2517928060626,1459.0,0.24377572526380864,0.6089523689101599,0.16979660121326978,2624.268543840985,171.46974973467417,12,819.965112927893,2154.303005810882,0.008841732225580356,34,5,210004.42646409685
E01004058,70.9,3.908344622170699,1567.0,0.22355837706544765,0.552,0.154,305.0,128.7863348329641,10,991.8012374800862,1342.0699542230864,0.006001013185346597,16,1,44735.66115296922
E01004059,72.5,18.282209210189382,1350.0,0.3136346495859842,0.482,0.089,2.0,44.3677935454787,16,497.3556254921999,2571.167719652174,0.008199146137260607,35,6,234498.11644553725
E01004060,44.9,17.000334549088436,1546.0,0.09779039231034982,0.6583621890361074,0.126,1844.4205526155592,95.04769606438265,23,309.00839688639724,1053.9999402192402,0.010775289761916166,19,2,65570.2105351572
E01004061,54.2,20.52327254866244,1607.0,0.20883811410955394,0.6042535275614017,0.052402114316744255,89.3489785379982,137.0784923743494,13,27.740504191423543,2765.1927528555616,0.013239421531397377,41,4,177616.91035963246
E01004062,40.2,25.371278346013383,1449.0,0.16632180676533648,0.638,0.004,220.0,72.7982956918128,20,371.1849365861918,1759.1360072452217,0.01057717822533491,52,4,165803.2320425663
E01004063,51.0,21.270120751530825,1530.0,0.17580443191580902,0.577,0.08140493927014915,110.0,107.2326384883571,14,231.7688366762033,3307.6138023810727,0.018815561016309816,55,2,173437.3296491755
E01004064,31.7,19.219888572856597,1579.0,0.16374469333023672,0.6038663857129355,0.12335130105664027,103.92670316657295,133.75224294423867,20,655.0028230973559,2790.8276161712524,0.017043935163380187,49,4,163445.41463607195
E01004065,55.8,18.42972217348788,1541.0,0.1122910292809417,0.616,0.061,3.0,236.99280766207156,23,593.0900347185456,2195.75747632433,0.019554388039440793,39,3,108251.54111612018
E01004066,43.9,19.845663608618036,1650.0,0.142544638257924,0.613,0.004,4.0,192.20345571001806,12,373.96364931586703,1847.539354822505,0.01296129027598928,25,3,121902.13622540497
E01004067,32.0,32.81703767328781,1512.0,0.23259444831992127,0.81,0.157,99.0,32.494791332711685,26,198.5919951772811,2722.7403840722272,0.011705997497777228,43,5,190982.60049481594
E01004068,30.3,14.715541477507765,1547.0,0.18746136502603972,0.5600547251981647,0.0808876822002902,76.40727285799716,342.0339303447002,10,332.7070801856878,3118.686381272707,0.016636378399462113,44,5,200292.72614034032
E01004069,66.0,5.672404359055538,1413.0,0.9170347747014442,0.552,0.07858566779643561,3.0,184.23835589945486,8,489.5352913687799,3994.042479567676,0.004355390176088598,39,6,896054.8314323633
E01004070,59.8,10.203328735154084,1541.0,0.3216384679128439,0.75,0.15171157008865668,135.0,66.28641052959318,19,193.91488495947112,4107.741298827474,0.012771419307918854,58,5,276670.61347105884
