PC,Feature,Loading,AbsLoading
PC13,Education_HighLevel_pct,-0.040849896968090535,0.040849896968090535
PC13,NearestRail_m,0.028159051229642847,0.028159051229642847
PC13,StreetSegments,0.02666404398051975,0.02666404398051975
PC13,StreetLength_m,-0.026178888207516883,0.026178888207516883
PC14,StreetLength_m,0.20464120210101694,0.20464120210101694
PC14,StreetSegments,-0.18811503960174153,0.18811503960174153
PC14,LandUse_Area,-0.12489681451477012,0.12489681451477012
PC14,Area_km2,0.0648074829058592,0.0648074829058592
PC14,MeanPTAL,0.03498252895688278,0.03498252895688278
PC14,StreetDensity_m_per_m2,0.02497768972223843,0.02497768972223843
PC14,LandUse_Diversity,0.011635877051211885,0.011635877051211885
PC14,NearestRail_m,0.009461176026336707,0.009461176026336707
PC14,ReviewCount,0.007978679705653347,0.007978679705653347
PC14,StationsWithin500m,0.006825152505639511,0.006825152505639511
PC15,Area_km2,0.17280288719367354,0.17280288719367354
PC15,LandUse_Area,-0.13172741664437515,0.13172741664437515
PC15,StreetLength_m,-0.08542831931042856,0.08542831931042856
PC15,StreetSegments,0.05157254639486845,0.05157254639486845
PC15,MeanPTAL,-0.023532139569674645,0.023532139569674645
PC15,StreetDensity_m_per_m2,0.015145388805835104,0.015145388805835104
PC15,Population,0.0038991740110494813,0.0038991740110494813
PC15,ReviewCount,-0.0026380012450638044,0.0026380012450638044
PC15,Education_HighLevel_pct,0.002577450205109297,0.002577450205109297
PC15,StationsWithin500m,0.0017014412279588236,0.0017014412279588236
PC2,StreetSegments,0.773927905704342,0.773927905704342
PC2,MeanPTAL,0.6319607649763712,0.6319607649763712
PC2,StreetLength_m,0.5699190821121137,0.5699190821121137
PC2,StationsWithin500m,0.5141337847356781,0.5141337847356781
PC2,ReviewCount,0.45046572016974823,0.45046572016974823
PC2,Education_HighLevel_pct,0.38275686126085573,0.38275686126085573
PC2,StreetDensity_m_per_m2,0.3419830579640512,0.3419830579640512
PC2,NearestRail_m,-0.29665122859787996,0.29665122859787996
PC2,Area_km2,0.23789520034152814,0.23789520034152814
PC2,LandUse_Diversity,0.23302978452697057,0.23302978452697057
PC3,MeanSentiment,0.7943642378309753,0.7943642378309753
PC3,SentimentSD,-0.7909451451922431,0.7909451451922431
PC3,Population,0.1345881405006681,0.1345881405006681
PC3,NearestRail_m,0.11694433001138123,0.11694433001138123
PC3,LandUse_Diversity,-0.07550495056194899,0.07550495056194899
PC3,Education_HighLevel_pct,-0.06788731202140474,0.06788731202140474
PC3,ReviewCount,0.05983574700472425,0.05983574700472425
PC3,LandUse_Area,-0.04816281983354006,0.04816281983354006
PC3,StreetSegments,0.047634152204272966,0.047634152204272966
PC3,StreetDensity_m_per_m2,0.042506861839181447,0.042506861839181447
PC4,Population,0.6310637754615988,0.6310637754615988
PC4,Education_HighLevel_pct,-0.5708307159195024,0.5708307159195024
PC4,NearestRail_m,0.33795906413518967,0.33795906413518967
PC4,StreetDensity_m_per_m2,0.2861577723851849,0.2861577723851849
PC4,NearestStation_m,-0.2817402736633306,0.2817402736633306
PC4,StreetSegments,0.24393223956001656,0.24393223956001656
PC4,LandUse_Diversity,-0.21015767431000856,0.21015767431000856
PC4,StreetLength_m,0.20116982277779688,0.20116982277779688
